service_id,date,exception_type
L31,20230518,1
L31,20230417,2
L31,20230424,2
L31,20230501,2
L31,20230515,2
L31,20230522,2
L319,20230501,2
L319,20230508,2
L319,20230518,2
L319,20230529,2
L320,20230501,2
L320,20230508,2
L320,20230518,2
L320,20230529,2
N10,20230501,2
N10,20230508,2
N10,20230518,2
N10,20230529,2
N11,20230501,2
N11,20230508,2
N11,20230518,2
N11,20230529,2
N2,20230501,2
N2,20230508,2
N2,20230518,2
N2,20230529,2
N24,20230417,1
N25,20230417,1
N65,20230518,1
N65,20230417,2
N65,20230424,2
N65,20230501,2
N65,20230515,2
N65,20230522,2
N7,20230501,2
N7,20230508,2
N7,20230518,2
N7,20230529,2
N8,20230501,2
N8,20230508,2
N8,20230518,2
N8,20230529,2
N9,20230501,2
N9,20230508,2
N9,20230518,2
N9,20230529,2
