stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
GRBY01,,Gare de Bayonne,Bayonne - Gare de Bayonne,43.49598200,-1.46982500,,,0,place_GRBY1,0,,GRBY01,Bayonne,GRBY01,Direction ~ Norabidea: Mairie de Biarritz / Bayonne Marrac / Biarritz Gare - Halle Iraty,64102
GRBY02,,Gare de Bayonne,Bayonne - Gare de Bayonne,43.49626900,-1.46981900,,,0,place_GRBY1,0,,GRBY02,Bayonne,GRBY02,Direction ~ Norabidea: Hauts de Bayonne / Gare de Bayonne Parvis / Tarnos Garròs,64102
GRBY03,,Gare de Bayonne Parvis,Bayonne - Gare de Bayonne Parvis,43.49676000,-1.46992800,,,0,place_GRBY,0,,GRBY03,Bayonne,GRBY03,Direction ~ Norabidea: Biarritz Gare - Halle Iraty,64102
NEGR01,,Gare de Biarritz,Biarritz - Gare de Biarritz,43.45970000,-1.54591700,,,0,place_NEGR,0,,NEGR01,Biarritz,NEGR01,Direction ~ Norabidea: Gare de Bayonne Parvis / Bayonne Place des Basques / Bidart Lore Lande,64122
NEGR02,,Gare de Biarritz,Biarritz - Gare de Biarritz,43.45971000,-1.54543800,,,0,place_NEGR,0,,NEGR02,Biarritz,NEGR02,Direction ~ Norabidea: Biarritz Gare - Halle Iraty / Gare de Biarritz / Bidart Lore Lande,64122
BOUG01,,Gare de Boucau,Boucau - Gare de Boucau,43.52384000,-1.49033800,,,0,place_BOUG,0,,BOUG01,Boucau,BOUG01,Direction ~ Norabidea: Tarnos Square Mora / Ondres Plage,64140
BOUG02,,Gare de Boucau,Boucau - Gare de Boucau,43.52377700,-1.49059500,,,0,place_BOUG,0,,BOUG02,Boucau,BOUG02,Direction ~ Norabidea: Anglet Quintaou/Endarra,64140
GRON01,,Gare de Ondres,Ondres - Gare de Ondres,43.56881400,-1.45728500,,,0,place_GRON,0,,GRON01,Ondres,GRON01,Direction ~ Norabidea: Gare de Bayonne Parvis,40209
GRON02,,Gare de Ondres,Ondres - Gare de Ondres,43.56892200,-1.45752600,,,0,place_GRON,0,,GRON02,Ondres,GRON02,Direction ~ Norabidea: Ondres Plage,40209
GARI01,,Garinde,Bayonne - Garinde,43.48360200,-1.45335200,,,0,place_GARI,0,,GARI01,Bayonne,GARI01,Direction ~ Norabidea: Mouguerre Cigaro,64102
GARI02,,Garinde,Bayonne - Garinde,43.48356700,-1.45346700,,,0,place_GARI,0,,GARI02,Bayonne,GARI02,Direction ~ Norabidea: Gare de Bayonne Parvis,64102
GARR01,,Garròs,Tarnos - Garròs,43.55252600,-1.45866200,,,0,place_GARR,0,,GARR01,Tarnos,GARR01,Direction ~ Norabidea: Bayonne Marrac,40312
GARR02,,Garròs,Tarnos - Garròs,43.55191000,-1.45913000,,,0,place_GARR,0,,GARR02,Tarnos,GARR02,Direction ~ Norabidea: Ondres Plage,40312
GARR11,,Garròs,Tarnos - Garròs,43.55249000,-1.45869100,,,0,place_GARR,0,,GARR11,Tarnos,GARR11,Direction ~ Norabidea: Gare de Bayonne Parvis,40312
GAUD01,,Gaudeul,Bayonne - Gaudeul,43.48030800,-1.50072700,,,0,place_GAUD,0,,GAUD01,Bayonne,GAUD01,Direction ~ Norabidea: Biarritz Gare - Halle Iraty,64102
GAUD02,,Gaudeul,Bayonne - Gaudeul,43.48011800,-1.50114000,,,0,place_GAUD,0,,GAUD02,Bayonne,GAUD02,Direction ~ Norabidea: Gare de Bayonne Parvis,64102
