route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_sort_order
122,TXIKTXAK-NORD,122,SAINT-PIERRE-D'IRUBE Hillans - BAYONNE Belharra - BAYONNE Marrac-Largenté,3,009640,ffffff,1000
124,TXIKTXAK-NORD,124,SAINT-PIERRE-D'IRUBE Bel Air - SAINT-PIERRE-D'IRUBE Aturri,3,CE7717,ffffff,1000
126,TXIKTXAK-NORD,126,BAYONNE Séqué - BAYONNE Camus,3,95C11F,ffffff,1000
128,TXIKTXAK-NORD,128,BIARRITZ St-Martin - Mairie de BIARRITZ - BAYONNE Villa Pia,3,E30613,ffffff,1000
130,TXIKTXAK-NORD,130,BAYONNE Place des Basques - TARNOS A. Croizat,3,00B1EB,ffffff,1000
132,TXIKTXAK-NORD,132,BAYONNE Place des Basques - ANGLET Abbé Cestac,3,5C2778,ffffff,1000
136,TXIKTXAK-NORD,136,BIDART Uhabia - BIARRITZ Cité Scolaire,3,635015,ffffff,1000
138,TXIKTXAK-NORD,138,ARCANGUES Bourg - BAYONNE Marrac-Largenté,3,40BBC7,ffffff,1000
N10,TXIKTXAK-NORD,N10,BIARRITZ Harispe - BIARRITZ Haraout,3,E73447,ffffff,1000
N11,TXIKTXAK-NORD,N11,BIARRITZ Hippodrome - BIARRITZ St-Charles,3,51AF47,ffffff,1000
N12,TXIKTXAK-NORD,N12,BIARRITZ Jardin Public - BIARRITZ Clinique Aguilera,3,EC6FA7,ffffff,1000
N1,TXIKTXAK-NORD,N1,BAYONNE Champ de Foire - BAYONNE Glain,3,94C023,ffffff,1000
N2,TXIKTXAK-NORD,N2,BAYONNE Quartier Arènes -  BAYONNE Quartier St-Esprit,3,941D81,ffffff,1000
N6,TXIKTXAK-NORD,N6,BAYONNE Hôpital - BAYONNE La Floride,3,263F90,ffffff,1000
